Name,Carbon,Height
Carpinus betulus,4.8,6.0
Carpinus betulus,4.8,6.0
Carpinus betulus,4.8,6.0
Carpinus betulus,4.8,6.0
Carpinus betulus,4.8,6.0
Carpinus betulus,26.5,8.0
Carpinus betulus,115.2,6.0
Carpinus betulus,26.5,4.0
Carpinus betulus,189.3,15.0
Carpinus betulus,406.9,15.0
Carpinus betulus,26.5,15.0
Carpinus betulus,26.5,8.0
Carpinus betulus,115.2,15.0
Carpinus betulus,26.5,8.0
Carpinus betulus,61.7,8.0
Carpinus betulus,13.2,4.0
Carpinus betulus,13.2,4.0
Carpinus betulus,13.2,4.0
Carpinus betulus,13.2,4.0
Carpinus betulus,13.2,4.0
Carpinus betulus,13.2,4.0
Carpinus betulus,13.2,4.0
Carpinus betulus,13.2,4.0
Carpinus betulus,13.2,4.0
Carpinus betulus,13.2,4.0
Carpinus betulus,13.2,4.0
Carpinus betulus,21.5,4.5
Carpinus betulus,21.5,4.5
Carpinus betulus,26.5,5.0
Carpinus betulus,26.5,5.0
Carpinus betulus,26.5,5.0
Carpinus betulus,21.5,4.0
Carpinus betulus,38.5,4.5
Carpinus betulus,21.5,4.5
Carpinus betulus,13.2,6.0
Carpinus betulus,13.2,6.0
Carpinus betulus,13.2,6.0
Carpinus betulus,26.5,4.5
Carpinus betulus,21.5,5.0
Carpinus betulus,26.5,4.5
Carpinus betulus,26.5,4.5
Carpinus betulus,21.5,4.5
Carpinus betulus,26.5,5.0
Carpinus betulus,26.5,5.0
Carpinus betulus,21.5,4.5
Carpinus betulus,26.5,5.0
Carpinus betulus,21.5,2.5
Carpinus betulus,21.5,4.5
Carpinus betulus,26.5,5.0
Carpinus betulus,26.5,5.0
Carpinus betulus,26.5,4.5
Carpinus betulus,21.5,4.5
Carpinus betulus,21.5,4.5
Carpinus betulus,26.5,4.5
Carpinus betulus,21.5,4.5
Carpinus betulus,21.5,4.5
Carpinus betulus,21.5,4.5
Carpinus betulus,21.5,4.5
Carpinus betulus,26.5,4.5
Carpinus betulus,21.5,4.5
Carpinus betulus,26.5,5.0
Carpinus betulus,21.5,4.5
Carpinus betulus,21.5,4.5
Carpinus betulus,21.5,4.5
Carpinus betulus,21.5,4.5
Carpinus betulus,26.5,5.0
Carpinus betulus,38.5,4.5
Carpinus betulus,38.5,4.5
Carpinus betulus,26.5,5.0
Carpinus betulus,32.2,5.0
Carpinus betulus,17.0,4.5
Carpinus betulus,21.5,4.5
Carpinus betulus,26.5,5.0
Carpinus betulus,81.0,6.2
Carpinus betulus,115.2,8.0
Carpinus betulus,406.9,15.0
Carpinus betulus,115.2,8.0
Carpinus betulus,3.1,3.0
Carpinus betulus,1426.2,20.0
Carpinus betulus,553.6,18.0
Carpinus betulus,2050.8,25.0
Carpinus betulus,26.5,8.0
Carpinus betulus,26.5,8.0
Carpinus betulus,26.5,8.0
Carpinus betulus,26.5,8.0
Carpinus betulus,26.5,8.0
Carpinus betulus,9.9,7.0
Carpinus betulus,45.5,6.0
Carpinus betulus,45.5,6.0
Carpinus betulus,45.5,6.0
Carpinus betulus,17.0,3.5
Carpinus betulus,53.2,6.0
Carpinus betulus,32.2,6.0
Carpinus betulus,13.2,4.0
Carpinus betulus,13.2,4.0
Carpinus betulus,45.5,8.0
Carpinus betulus,1426.2,20.0
Carpinus betulus,91.4,10.0
Carpinus betulus,38.5,5.0
Carpinus betulus,91.4,10.0
Carpinus betulus,157.1,10.0
Carpinus betulus,45.5,6.0
Carpinus betulus,13.2,6.0
Carpinus betulus,26.5,10.0
Carpinus betulus,45.5,6.0
Carpinus betulus,45.5,6.0
Carpinus betulus,45.5,6.0
Carpinus betulus,45.5,6.0
Carpinus betulus,45.5,6.0
Carpinus betulus,45.5,6.0
Carpinus betulus,91.4,10.0
Carpinus betulus,70.8,6.0
Carpinus betulus,26.5,10.0
Carpinus betulus,26.5,10.0
Carpinus betulus,115.2,12.0
Carpinus betulus,115.2,12.0
Carpinus betulus,189.3,18.0
Carpinus betulus,189.3,20.0
Carpinus betulus,553.6,12.0
Carpinus betulus,553.6,12.0
Carpinus betulus,45.5,6.0
Carpinus betulus,45.5,6.0
Carpinus betulus,45.5,6.0
Carpinus betulus,45.5,6.0
Carpinus betulus,286.0,5.0
Carpinus betulus,350.3,14.0
Carpinus betulus,128.3,12.0
Carpinus betulus,128.3,10.0
Carpinus betulus,142.3,12.0
Carpinus betulus,80.8,14.0
Carpinus betulus,206.8,13.0
Carpinus betulus,45.5,6.0
Carpinus betulus,930.2,10.0
Carpinus betulus,38.5,5.0
Carpinus betulus,38.5,5.0
Carpinus betulus,38.5,4.5
Carpinus betulus,26.5,4.5
Carpinus betulus,17.0,3.0
Carpinus betulus,26.5,5.0
Carpinus betulus,264.8,9.0
Carpinus betulus,206.8,8.0
Carpinus betulus,32.2,6.0
Carpinus betulus,45.5,7.0
Carpinus betulus,45.5,7.0
Carpinus betulus,45.5,7.0
Carpinus betulus,45.5,7.0
Carpinus betulus,61.7,7.0
Carpinus betulus,61.7,7.0
Carpinus betulus,61.7,7.0
Carpinus betulus,61.7,7.0
Carpinus betulus,45.5,7.0
Carpinus betulus,61.7,7.0
Carpinus betulus,45.5,7.0
Carpinus betulus,45.5,7.0
